Module Department,Module Code,Module Name,Event ID,Year,Event Name,Event Type,Duration (minutes),Event Size,Timeslot,WholeClass,Online Delivery,Number of Weeks,Weeks,Room,Room type 2,Room Type 1,Building,Campus,Semester,Room Lock
Royal (Dick) School of Veterinary Studies,AWAB11046_SS1_SEM1_2024/5,Animal Cognition and Consciousness,E:PFXW62K3JJ,PG,PG Animal Cognition and Consciousness - Lecture,Lecture,170,30,Tuesday 10:00,TRUE,,1,10,0728_01_1.28,General Teaching,Locally Allocated Space,Vet School,Easter Bush,Semester 1,No
Royal (Dick) School of Veterinary Studies,AWAB11046_SS1_SEM1_2024/5,Animal Cognition and Consciousness,E:PFXW62K3JJ-00001,PG,PG Animal Cognition and Consciousness - Lecture,Lecture,170,30,Thursday 10:00,TRUE,,1,11,0728_01_1.28,General Teaching,Locally Allocated Space,Vet School,Easter Bush,Semester 1,No
Royal (Dick) School of Veterinary Studies,AWAB11046_SS1_SEM1_2024/5,Animal Cognition and Consciousness,E:PFXW62K3JJ-00002,PG,PG Animal Cognition and Consciousness - Lecture,Lecture,230,30,Thursday 13:00,TRUE,,1,11,0728_01_1.28,General Teaching,Locally Allocated Space,Vet School,Easter Bush,Semester 1,No
Royal (Dick) School of Veterinary Studies,AWAB11046_SS1_SEM1_2024/5,Animal Cognition and Consciousness,E:PFXW62K3JJ-00003,PG,PG Animal Cognition and Consciousness - Lecture,Lecture,110,30,Tuesday 15:00,TRUE,,1,12,0728_01_1.28,General Teaching,Locally Allocated Space,Vet School,Easter Bush,Semester 1,No
Royal (Dick) School of Veterinary Studies,AWAB11046_SS1_SEM1_2024/5,Animal Cognition and Consciousness,E:PFXW62K3JJ-00005,PG,PG Animal Cognition and Consciousness - Lecture,Lecture,230,30,Tuesday 13:00,TRUE,,1,13,0728_01_1.28,General Teaching,Locally Allocated Space,Vet School,Easter Bush,Semester 1,No
Royal (Dick) School of Veterinary Studies,AWAB11046_SS1_SEM1_2024/5,Animal Cognition and Consciousness,E:PFXW62K3JJ-00006,PG,PG Animal Cognition and Consciousness - Lecture,Lecture,230,30,Thursday 09:00,TRUE,,1,15,0728_01_1.28,General Teaching,Locally Allocated Space,Vet School,Easter Bush,Semester 1,No
Royal (Dick) School of Veterinary Studies,AWAB11046_SS1_SEM1_2024/5,Animal Cognition and Consciousness,E:PFXW62K3JJ-00010,PG,PG Animal Cognition and Consciousness - Lecture,Lecture,230,30,Tuesday 09:00,TRUE,,1,17,0728_01_1.28,General Teaching,Locally Allocated Space,Vet School,Easter Bush,Semester 1,No
Royal (Dick) School of Veterinary Studies,AWAB11046_SS1_SEM1_2024/5,Animal Cognition and Consciousness,E:PFXW62K3JJ-00012,PG,PG Animal Cognition and Consciousness - Lecture,Lecture,180,30,Tuesday 09:30,TRUE,,1,18,0728_01_1.28,General Teaching,Locally Allocated Space,Vet School,Easter Bush,Semester 1,No
Royal (Dick) School of Veterinary Studies,AWAB11046_SS1_SEM1_2024/5,Animal Cognition and Consciousness,E:PFXW62K3JJ-00013,PG,PG Biology of Animal Welfare - Lecture,Lecture,90,30,Tuesday 13:30,TRUE,,1,18,0728_01_1.28,General Teaching,Locally Allocated Space,Vet School,Easter Bush,Semester 1,No
Royal (Dick) School of Veterinary Studies,AWAB11046_SS1_SEM1_2024/5,Animal Cognition and Consciousness,E:VZKXWLLPC8,PG,PG Animal Cognition and Consciousness Training Practical,Practical,470,30,Wednesday 09:00,TRUE,,1,12,0728_00_G.02A,Computer Laboratory,Locally Allocated Space,Vet School,Easter Bush,Semester 1,Yes
Royal (Dick) School of Veterinary Studies,BVMS08061_SS1_YR_2024/5,Animal Life & Food Safety 1,E:186IWBB1I6,Y1,Y1 ALFS1 - Milking /A03-04 (Langhill),Practical,170,10,Tuesday 14:00,FALSE,,1,15,,No room required,No room required,,,Semester 1,No
Royal (Dick) School of Veterinary Studies,BVMS08061_SS1_YR_2024/5,Animal Life & Food Safety 1,E:1AWSOTGCCN,Y1,Y1 ALFS1 - Dog Handling/A01-02_A05,Practical,80,15,Thursday 11:00,FALSE,,1,15,0728_01_1.21,Laboratory,Locally Allocated Space,Vet School,Easter Bush,Semester 1,Yes
Royal (Dick) School of Veterinary Studies,BVMS08061_SS1_YR_2024/5,Animal Life & Food Safety 1,E:1SBDYWWI67,Y1,Y1 ALFS1  - Cat Handling/D,Practical,50,30,Tuesday 11:00,FALSE,,1,15,0728_01_1.21,Laboratory,Locally Allocated Space,Vet School,Easter Bush,Semester 1,Yes
Royal (Dick) School of Veterinary Studies,BVMS08061_SS1_YR_2024/5,Animal Life & Food Safety 1,E:1V5R3YIHOG,Y1,Y1 ALFS1 - Exam Format,Lecture,50,120,Thursday 09:00,TRUE,,1,33,0728_00_G.58,General Teaching,Locally Allocated Space,Vet School,Easter Bush,Semester 2,No
Royal (Dick) School of Veterinary Studies,BVMS08061_SS1_YR_2024/5,Animal Life & Food Safety 1,E:1VFTS3F14J,Y1,Y1 ALFS1 - Cattle Handling /C05-06 (langhill),Practical,170,10,Thursday 14:00,FALSE,,1,15,,No room required,No room required,,,Semester 1,No
Royal (Dick) School of Veterinary Studies,BVMS08061_SS1_YR_2024/5,Animal Life & Food Safety 1,E:4W5N19JTGA,Y1,Y1 ALFS1 - Cattle Handling /D03-04 (Langhill),Practical,170,10,Friday 14:00,FALSE,,1,18,,No room required,No room required,,,Semester 1,No
Royal (Dick) School of Veterinary Studies,BVMS08061_SS1_YR_2024/5,Animal Life & Food Safety 1,E:4WCJJ8CM98,Y1,Y1 ALFS1 - Dog Handling/B01-03,Practical,80,15,Wednesday 11:00,FALSE,,1,15,0728_01_1.21,Laboratory,Locally Allocated Space,Vet School,Easter Bush,Semester 1,Yes
Royal (Dick) School of Veterinary Studies,BVMS08061_SS1_YR_2024/5,Animal Life & Food Safety 1,E:58NCSUP3XY,Y1,Y1 ALFS1 - Dog Handling Assessment (Separate timetable to be released),Other,420,120,Friday 10:00,TRUE,,1,16,0728_01_1.21,Laboratory,Locally Allocated Space,Vet School,Easter Bush,Semester 1,Yes
Royal (Dick) School of Veterinary Studies,BVMS08061_SS1_YR_2024/5,Animal Life & Food Safety 1,E:6LSXQ992KO,Y1,Y1 ALFS1 - VPH5 - Waste Management and Animal By-Products,Lecture,50,120,Monday 14:00,TRUE,,1,26,0781_00_G.022,General Teaching,Locally Allocated Space,Roslin Institute,Easter Bush,Semester 2,No
Royal (Dick) School of Veterinary Studies,BVMS08061_SS1_YR_2024/5,Animal Life & Food Safety 1,E:73Z8AIKLK3,Y1,"Y1 ALFS1 - Horses 1 (Pearson, G)",Lecture,50,120,Thursday 10:00,TRUE,,1,9,0728_00_G.58,General Teaching,Locally Allocated Space,Vet School,Easter Bush,Semester 1,No
