Rule,CourseID,Num_Violations
Clash,PRMSCARCTC1F_YR1_2024/5,1.0
Clash,PRMSCARCTC1P_YR1_2024/5,1.0
Clash,PRMSCBIOAI1F_YR1_2024/5,3.0
Clash,PRMSCBIOAI2F_YR1_2024/5,3.0
Clash,PRMSCBIOAI2F_YR2_2024/5,3.0
6hrs per day,PRMSCCOUST1F_YR1_2024/5,2.0
Clash,PRMSCCOUST1F_YR1_2024/5,2.0
6hrs per day,PRMSCCOUST1P_YR1_2024/5,2.0
Clash,PRMSCCOUST1P_YR1_2024/5,2.0
Clash,PRMSCCOUST1P_YR2_2024/5,1.0
Clash,PRMSCCPSYC1F_YR1_2024/5,1.0
Clash,PRMSCECNSH1F_YR1_2024/5,2.0
Clash,PRMSCECNSH1P_YR1_2024/5,2.0
Clash,PRMSCECNSH1P_YR2_2024/5,2.0
Clash,PRMSCGEOPY3F_YR1_2024/5,2.0
Clash,PRMSCHEHUA1F_YR1_2024/5,1.0
6hrs per day,PRMSCHEHUA2P_YR1_2024/5,1.0
Clash,PRMSCHEHUA2P_YR1_2024/5,2.0
Clash,PRMSCHEHUA2P_YR2_2024/5,1.0
Clash,PRMSCHOART1F_YR1_2024/5,1.0
6hrs per day,PRMSCINEUS1F_YR1_2024/5,1.0
Clash,PRMSCINEUS1F_YR1_2024/5,2.0
Clash,PRMSCMEDMI6F_YR1_2024/5,1.0
Clash,PRMSCMGMNT1F_YR1_2024/5,4.0
6hrs per day,PRMSCMGMNT1F_YR1_2024/5,9.0
Clash,PRMSCNURSE1F_YR1_2024/5,2.0
Clash,PRMSCPALGE1F_YR1_2024/5,1.0
Clash,PRMSCSCTST1F_YR1_2024/5,3.0
6hrs per day,PRMSCSCTST1F_YR1_2024/5,4.0
6hrs per day,PRMSCSCTST1P_YR1_2024/5,3.0
Clash,PRMSCSCTST1P_YR1_2024/5,3.0
6hrs per day,PRMSCSCTST1P_YR2_2024/5,3.0
Clash,PRMSCSCTST1P_YR2_2024/5,3.0
Clash,PRMSCSNDES1F_YR1_2024/5,1.0
Clash,PRMSCSNDES1P_YR1_2024/5,1.0
Clash,PRMSCSOPOS1F_YR1_2024/5,2.0
Clash,PRMSCSOPOS1P_YR1_2024/5,2.0
Clash,PRPHDACCOU1F_YR1_2024/5,1.0
Clash,PRPHDADVCA1F_YR1_2024/5,1.0
Clash,PRPHDAINTB2F_YR1_2024/5,7.0
6hrs per day,PRPHDAINTB2F_YR1_2024/5,28.0
Clash,PRPHDAINTB2P_YR1_2024/5,7.0
6hrs per day,PRPHDAINTB2P_YR1_2024/5,28.0
Clash,PRPHDBUSEC1F_YR1_2024/5,3.0
Clash,PRPHDECNMC2F_YR1_2024/5,1.0
Clash,PRPHDFINAN1F_YR1_2024/5,2.0
Clash,PRPHDFINTC3F_YR1_2024/5,3.0
Clash,PRPHDISACC1F_YR1_2024/5,2.0
Clash,PRPHDISFIN1F_YR1_2024/5,3.0
Clash,PRPHDISMAN1F_YR1_2024/5,2.0
Clash,PRPHDISPME2F_YR1_2024/5,1.0
Clash,PRPHDISPME2F_YR2_2024/5,1.0
Clash,PRPHDISPME2F_YR3_2024/5,1.0
Clash,PRPHDMGMNT1F_YR1_2024/5,1.0
Clash,PRPHDMGTSA1F_YR1_2024/5,3.0
Clash,PRPHDNATLP1F_YR1_2024/5,6.0
6hrs per day,PRPHDNATLP1F_YR1_2024/5,13.0
Clash,PRPHDNATLP1F_YR2_2024/5,6.0
6hrs per day,PRPHDNATLP1F_YR2_2024/5,13.0
Clash,PRPHDNATLP1F_YR3_2024/5,1.0
Clash,PRPHDNATLP3F_YR1_2024/5,5.0
6hrs per day,PRPHDNATLP3F_YR1_2024/5,21.0
Clash,PRPHDOHMDI1F_YR1_2024/5,1.0
6hrs per day,PRPHDOHMDI1F_YR1_2024/5,8.0
Clash,PRPHDROBAS3F_YR1_2024/5,2.0
Clash,PRPHDROBAS4F_YR1_2024/5,2.0
Clash,PRPHDSPADS1F_YR1_2024/5,11.0
6hrs per day,PRPHDSPADS1F_YR1_2024/5,69.0
Friday Afternoon,PTDCPCLIPC1F_YR1_2024/5,1.0
After 17h,PTDCPCLIPC1F_YR1_2024/5,2.0
Clash,PTDCPCLIPC1F_YR1_2024/5,2.0
6hrs per day,PTDCPCLIPC1F_YR1_2024/5,13.0
Friday Afternoon,PTDCPCLIPC1F_YR2_2024/5,1.0
Clash,PTDCPCLIPC1F_YR2_2024/5,1.0
After 17h,PTDCPCLIPC1F_YR2_2024/5,2.0
6hrs per day,PTDCPCLIPC1F_YR2_2024/5,10.0
Clash,PTDPYPSYCO2F_YR1_2024/5,1.0
Clash,PTDPYPSYCO2F_YR2_2024/5,1.0
Clash,PTDPYPSYCO2F_YR3_2024/5,1.0
Clash,PTDPYPSYCO2P_YR2_2024/5,1.0
Clash,PTDPYPSYCO2P_YR3_2024/5,1.0
Clash,PTDPYPSYCO2P_YR4_2024/5,1.0
Clash,PTDPYPSYCO2P_YR5_2024/5,1.0
Clash,PTLLMGLENV1F_YR1_2024/5,1.0
Clash,PTLLMGLENV1P_YR1_2024/5,1.0
Clash,PTLLMGLENV1P_YR2_2024/5,1.0
Clash,PTLLMHUMRI1F_YR1_2024/5,1.0
Clash,PTLLMHUMRI1P_YR1_2024/5,1.0
Clash,PTLLMHUMRI1P_YR2_2024/5,1.0
Clash,PTMARINASD1F_YR1_2024/5,3.0
Clash,PTMARMARCH2F_YR1_2024/5,1.0
Clash,PTMARMARCH2F_YR2_2024/5,2.0
Clash,PTMARTCOAP1F_YR1_2024/5,2.0
Clash,PTMARTCONT1F_YR1_2024/5,1.0
Clash,PTMARTCONT1P_YR1_2024/5,1.0
Clash,PTMARTCONT1P_YR2_2024/5,1.0
Clash,PTMARTDECH1F_YR1_2024/5,2.0
Clash,PTMARTDESI1F_YR1_2024/5,3.0
6hrs per day,PTMARTFIDI1F_YR1_2024/5,1.0
Clash,PTMARTFIDI1F_YR1_2024/5,3.0
Clash,PTMARTGRDE1F_YR1_2024/5,2.0
6hrs per day,PTMARTILLU1F_YR1_2024/5,1.0
Clash,PTMARTILLU1F_YR1_2024/5,3.0
Clash,PTMBABUSAD5F_YR1_2024/5,2.0
6hrs per day,PTMBABUSAD5F_YR1_2024/5,20.0
Clash,PTMBABUSAD7F_YR1_2024/5,2.0
6hrs per day,PTMBABUSAD7F_YR1_2024/5,20.0
Clash,PTMCOCOUIP1F_YR1_2024/5,1.0
Clash,PTMCOCOUIP1F_YR2_2024/5,1.0
Clash,PTMCOCOUNS1P_YR2_2024/5,1.0
