Module,Event,Time,Day
PGDE Secondary Curriculum and Pedagogy,Tutorial,09:00,It's Friday Thennnnn
"The Transformation of the Roman World, ca. 300-800: Towards Byzantium and the Early Medieval West",Tutorial,09:00,It's Friday Thennnnn
Architectural Design: Elements,Tutorial,09:00,It's Friday Thennnnn
Landscape architecture design: Context and Grounding,Tutorial,09:00,It's Friday Thennnnn
Presentation: Methods & Context 3,Workshop,09:00,It's Friday Thennnnn
Population and Community Ecology 3,Lecture,09:00,It's Friday Thennnnn
Decision Analytics,Tutorial,09:00,It's Friday Thennnnn
Professional & Clinical Skills (1),Tutorial,09:00,It's Friday Thennnnn
Professional & Clinical Skills 2,Tutorial,09:00,It's Friday Thennnnn
Animal Life & Food Safety 1,Lecture,09:00,It's Friday Thennnnn
Clinical Foundation Course (Yr 3),Tutorial,09:00,It's Friday Thennnnn
Integrated Clinical Course: Farm Animal,Tutorial,09:00,It's Friday Thennnnn
Integrated Clinical Course: Farm Animal,Lecture,09:00,It's Friday Thennnnn
Introduction to Gaelic Language and Culture,Tutorial,09:00,It's Friday Thennnnn
"Celtic Civilisation 1A: Barbarians, Saints, and Scholars",Tutorial,09:00,It's Friday Thennnnn
Dissertation - MSc in Applied Psychology (Healthcare) for Children and Young People,Lecture,09:00,It's Friday Thennnnn
Interpersonal Psychotherapy (IPT) - Level A,Lecture,09:00,It's Friday Thennnnn
CBT with Complex Presentations,Workshop,09:00,It's Friday Thennnnn
Responsible Management of Digital Innovation,Tutorial,09:00,It's Friday Thennnnn
Fashion Design 3A: Fashion Innovation for Industry,Tutorial,09:00,It's Friday Thennnnn
Fashion 4C: Design Book - Professional Positioning for Industry,Tutorial,09:00,It's Friday Thennnnn
Physical Education Curriculum and Pedagogy 1: An Introduction to Physical Education,Practical,09:00,It's Friday Thennnnn
Professional Development Programme,Workshop,09:00,It's Friday Thennnnn
Russian Language 2A,Tutorial,09:00,It's Friday Thennnnn
Whole body health 1,Tutorial,09:00,It's Friday Thennnnn
Whole body health 1,Lecture,09:00,It's Friday Thennnnn
Whole Body Health 2,Tutorial,09:00,It's Friday Thennnnn
