CourseID,Rule,Num_Violations
6hrs per day,UTACMME_YR2_2024/5,1.0
6hrs per day,UTMAHCLAAH1F_YR2_2024/5,1.0
6hrs per day,UTSETAR_YR2_2024/5,1.0
6hrs per day,UTBAHINART1F_YR3_2024/5,1.0
6hrs per day,UTBAHPAINT1F_YR3_2024/5,1.0
6hrs per day,UTBAHPHOTO1F_YR3_2024/5,1.0
6hrs per day,UTBAHSCULP1F_YR3_2024/5,1.0
6hrs per day,UTBMEBIOCH1F_YR3_2024/5,1.0
6hrs per day,UTBSBCH_YR4_2024/5,1.0
6hrs per day,UTBSVBIOCH1F_YR3_2024/5,1.0
6hrs per day,UTMAHIBUCH1F_YR2_2024/5,1.0
6hrs per day,UTMAHIBUJA1F_YR2_2024/5,1.0
6hrs per day,UTMLGRU_YR2_2024/5,1.0
6hrs per day,UTMLRSS_YR2_2024/5,1.0
6hrs per day,UTRUSST_YR2_2024/5,1.0
6hrs per day,UTMLRSP_YR2_2024/5,1.0
6hrs per day,UTGGPEC_YR2_2024/5,1.0
6hrs per day,UTGGPHYMAH_YR2_2024/5,1.0
6hrs per day,UTGGPHY_YR2_2024/5,1.0
6hrs per day,UTARAFR_YR2_2024/5,1.0
6hrs per day,UTARASP_YR2_2024/5,1.0
6hrs per day,UTAICSC_YR1_2024/5,1.0
6hrs per day,UTAINTL_YR1_2024/5,1.0
6hrs per day,UTCMPMA_YR1_2024/5,1.0
6hrs per day,UTCMPSIBE_YR1_2024/5,1.0
6hrs per day,UTCMPSI_YR1_2024/5,1.0
6hrs per day,UTINFMT_YR1_2024/5,1.0
6hrs per day,UTSWENG_YR1_2024/5,1.0
6hrs per day,UTGERENG_YR1_2024/5,1.0
6hrs per day,UTGERLI_YR1_2024/5,1.0
6hrs per day,UTITAENG_YR1_2024/5,1.0
6hrs per day,UTITALI_YR1_2024/5,1.0
6hrs per day,UTRUSENG_YR1_2024/5,1.0
6hrs per day,UTRUSLI_YR1_2024/5,1.0
6hrs per day,UTSPALI_YR1_2024/5,1.0
6hrs per day,PTMSCMARSP1F_YR1_2024/5,1.0
6hrs per day,PRMSCECNSH1F_YR1_2024/5,1.0
6hrs per day,PRMSCECNSH1P_YR1_2024/5,1.0
6hrs per day,PRMSCECNSH1P_YR2_2024/5,1.0
6hrs per day,UTPHIEL_YR3_2024/5,1.0
6hrs per day,UTPHIGR_YR3_2024/5,1.0
6hrs per day,UTPHILI_YR3_2024/5,1.0
6hrs per day,UTPHILY_YR3_2024/5,1.0
6hrs per day,UTBMEBIOLS1F_YR3_2024/5,1.0
6hrs per day,UTSOPPS_YR4_2024/5,1.0
6hrs per day,UTSANDE_YR2_2024/5,1.0
6hrs per day,UTFITEEBAH_YR2_2024/5,1.0
6hrs per day,UTFITEEBAH_YR3_2024/5,1.0
