Module,Event,Time,Day
Informatics Large Practical,Lecture,09:00,It's Friday Thennnnn
"Finance, Risk and Uncertainty",Workshop,09:00,It's Friday Thennnnn
"Finance, Risk and Uncertainty",Workshop,10:00,It's Friday Thennnnn
"Finance, Risk and Uncertainty",Workshop,11:00,It's Friday Thennnnn
The Animal Body (3),Lecture,09:00,Monday
Clinical Foundation Course (Yr 3),Lecture,11:00,Monday
"Professionalism: Leading and managing in health and social care: Society, Culture and Health 4",Practical,16:00,Out of Touch Thursday
"Finance, Risk and Uncertainty",Workshop,09:00,Tuesday
"Finance, Risk and Uncertainty",Workshop,10:00,Tuesday
Clinical Foundation Course (Yr 3),Lecture,11:00,Tuesday
"Finance, Risk and Uncertainty",Workshop,11:00,Tuesday
"Finance, Risk and Uncertainty",Workshop,14:00,Tuesday
"Finance, Risk and Uncertainty",Workshop,15:00,Tuesday
"Finance, Risk and Uncertainty",Workshop,16:00,Tuesday
"Professionalism: Leading and managing in health and social care: Society, Culture and Health 4",Practical,16:00,Wednesday My Dudes
