Module,Event,Time,Day
Animal Life & Food Safety 1,Practical,09:00,It's Friday Thennnnn
Animal models and genomic modification for One Health Models of Disease,Lecture,09:00,It's Friday Thennnnn
Biology of Animal Welfare,Lecture,09:00,It's Friday Thennnnn
Professional & Clinical Skills 4,Lecture,09:00,It's Friday Thennnnn
Student Research Component (Foundation Skills),Practical,09:00,It's Friday Thennnnn
Animal models and genomic modification for One Health Models of Disease,Lecture,10:00,It's Friday Thennnnn
Clinical Foundation Course (Yr 3),Tutorial,10:00,It's Friday Thennnnn
Introduction to Applied Animal Behaviour and Animal Welfare,Lecture,10:00,It's Friday Thennnnn
Professional & Clinical Skills (3),Practical,10:00,It's Friday Thennnnn
Professional & Clinical Skills 4,Lecture,10:00,It's Friday Thennnnn
Animal Life & Food Safety 1,Practical,11:00,It's Friday Thennnnn
Animal models and genomic modification for One Health Models of Disease,Lecture,11:00,It's Friday Thennnnn
Clinical Foundation Course (Yr 3),Lecture,11:00,It's Friday Thennnnn
Integrated Clinical Course: Farm Animal,Lecture,11:00,It's Friday Thennnnn
Introduction to Applied Animal Behaviour and Animal Welfare,Lecture,11:00,It's Friday Thennnnn
Professional & Clinical Skills (3),Practical,11:00,It's Friday Thennnnn
Professional & Clinical Skills 4,Workshop,11:00,It's Friday Thennnnn
Veterinary Public Health,Practical,11:00,It's Friday Thennnnn
Animal Life & Food Safety GEP,Lecture,12:00,It's Friday Thennnnn
Biology of Animal Welfare,Lecture,12:00,It's Friday Thennnnn
Professional & Clinical Skills 2,Practical,12:00,It's Friday Thennnnn
Professional & Clinical Skills GEP,Practical,12:00,It's Friday Thennnnn
The Animal Body 2 (GEP),Tutorial,12:00,It's Friday Thennnnn
Animal Cognition and Consciousness,Practical,13:00,It's Friday Thennnnn
Animal models and genomic modification for One Health Models of Disease,Lecture,13:00,It's Friday Thennnnn
Professional & Clinical Skills 4,Practical,13:00,It's Friday Thennnnn
The Animal Body (1),Practical,13:00,It's Friday Thennnnn
Animal Cognition and Consciousness,Practical,09:00,Monday
Animal Life & Food Safety 1,Lecture,09:00,Monday
Animal Life & Food Safety GEP,Lecture,09:00,Monday
Animal models and genomic modification for One Health Models of Disease,Lecture,09:00,Monday
Biology of Animal Welfare,Lecture,09:00,Monday
Clinical Foundation Course (Yr 3),Practical,09:00,Monday
Professional & Clinical Skills (1),Tutorial,09:00,Monday
Professional & Clinical Skills (3),Tutorial,09:00,Monday
Professional & Clinical Skills 2,Tutorial,09:00,Monday
Professional & Clinical Skills 4,Practical,09:00,Monday
Professional & Clinical Skills GEP,Tutorial,09:00,Monday
Student Research Component (Foundation Skills),Practical,09:00,Monday
The Animal Body (1),Practical,09:00,Monday
The Animal Body (3),Lecture,09:00,Monday
The Animal Body 2 (GEP),Practical,09:00,Monday
Veterinary Pathology,Lecture,09:00,Monday
Veterinary Public Health,Lecture,09:00,Monday
Animal Life & Food Safety 1,Tutorial,10:00,Monday
Animal Life & Food Safety 2,Practical,10:00,Monday
Animal Life & Food Safety GEP,Tutorial,10:00,Monday
Animal models and genomic modification for One Health Models of Disease,Lecture,10:00,Monday
Integrated Clinical Course: Farm Animal,Tutorial,10:00,Monday
Introduction to Applied Animal Behaviour and Animal Welfare,Lecture,10:00,Monday
Professional & Clinical Skills (3),Lecture,10:00,Monday
Animal Cognition and Consciousness,Lecture,11:00,Monday
Animal Life & Food Safety 2,Lecture,11:00,Monday
Animal models and genomic modification for One Health Models of Disease,Lecture,11:00,Monday
Professional & Clinical Skills 2,Practical,11:00,Monday
Professional & Clinical Skills GEP,Tutorial,11:00,Monday
The Animal Body (1),Lecture,11:00,Monday
The Animal Body (3),Tutorial,11:00,Monday
Animal models and genomic modification for One Health Models of Disease,Lecture,12:00,Monday
Animal Cognition and Consciousness,Practical,13:00,Monday
Animal models and genomic modification for One Health Models of Disease,Lecture,13:00,Monday
Introduction to Applied Animal Behaviour and Animal Welfare,Lecture,13:00,Monday
The Animal Body (1),Practical,13:00,Monday
The Animal Body (3),Practical,13:00,Monday
Animal models and genomic modification for One Health Models of Disease,Lecture,14:00,Monday
Biology of Animal Welfare,Lecture,14:00,Monday
The Animal Body (1),Practical,14:00,Monday
The Animal Body (3),Tutorial,14:00,Monday
The Animal Body 2 (GEP),Lecture,14:00,Monday
Animal Life & Food Safety 1,Lecture,15:00,Monday
